component,explained_variance_ratio,cumulative_variance_ratio
231,0.0007984019287270411,0.8127258704488457
232,0.000791264246532978,0.8135171346953787
233,0.0007887226247070197,0.8143058573200856
234,0.0007841904278170218,0.8150900477479026
235,0.0007797065705988001,0.8158697543185014
236,0.0007754706392702802,0.8166452249577717
237,0.0007680591587138791,0.8174132841164856
238,0.000763926108361518,0.8181772102248471
239,0.0007617795419084426,0.8189389897667556
240,0.0007582123630887718,0.8196972021298444
241,0.0007538544800530178,0.8204510566098975
242,0.0007511271121712677,0.8212021837220688
243,0.0007480051990566862,0.8219501889211255
244,0.0007432049036141895,0.8226933938247397
245,0.0007377660558522897,0.823431159880592
246,0.0007279080253548809,0.8241590679059468
247,0.0007250779400410535,0.8248841458459879
248,0.0007230764275716161,0.8256072222735595
249,0.0007209518960269922,0.8263281741695865
250,0.0007183647606577625,0.8270465389302443
251,0.0007164284319053077,0.8277629673621496
252,0.0007124769642411355,0.8284754443263908
253,0.0007095839245630834,0.8291850282509539
254,0.0007045894685235788,0.8298896177194774
255,0.0007019314817147331,0.8305915492011922
256,0.000699735475731113,0.8312912846769233
257,0.0006948611474545889,0.8319861458243778
258,0.0006904453134111947,0.832676591137789
259,0.0006866138353294527,0.8333632049731184
260,0.0006864204422336114,0.8340496254153521
261,0.0006836911692360781,0.8347333165845882
262,0.0006794869387944987,0.8354128035233827
263,0.0006772967663639235,0.8360901002897466
264,0.0006761762119446333,0.8367662765016912
265,0.0006675586410083259,0.8374338351426995
266,0.0006632655283444967,0.838097100671044
267,0.0006623453772737212,0.8387594460483178
268,0.0006601973289944011,0.8394196433773121
269,0.0006579548085356203,0.8400775981858477
270,0.0006550037061569098,0.8407326018920046
271,0.0006532420628066985,0.8413858439548113
272,0.0006491593757359115,0.8420350033305473
273,0.0006460153764839981,0.8426810187070313
274,0.000643673437679379,0.8433246921447106
275,0.0006390522521542402,0.8439637443968648
276,0.0006361142909804741,0.8445998586878453
277,0.0006330443189586271,0.8452329030068039
278,0.0006299031994634612,0.8458628062062673
279,0.0006261982997051576,0.8464890045059724
280,0.000625167290366102,0.8471141717963385
281,0.0006197878835331086,0.8477339596798716
